,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
3077,Veer-Zaara,7000000,Drama Romance,4251,love of one's life pilot class society pakistan india,"The story of the love between Veer Pratap Singh, an Indian, and Zaara Hayaat Khan, a Pakistani...a love so great it knows no boundaries...",3.721858,7.4,64,Shah Rukh Khan Preity Zinta Rani Mukerji Amitabh Bachchan Hema Malini,Yash Chopra,,,['Sanjeev Kohli'],['Anil Mehta'],['India'],['Yash Raj Films'],['हिन्दी']
3078,Veronica Guerin,17000000,Drama Crime Thriller,10629,journalism police drug scene murder drug lord,"In this true story, Veronica Guerin is an investigative reporter for an Irish newspaper. As the drug trade begins to bleed into the mainstream, Guerin decides to take on and expose those responsible. Beginning at the bottom with addicts, Guerin then gets in touch with John Traynor, a paranoid informant. Not without some prodding, Traynor leads her to John Gilligan, the ruthless head of the operation, who does not take kindly to Guerin's nosing.",9.583578,6.8,59,Cate Blanchett Gerard McSorley Ciar\u00e1n Hinds Brenda Fricker Don Wycherley,Joel Schumacher,"['Mike Stenson', 'Ned Dowd', 'Chad Oman']",,['Harry Gregson-Williams'],['Brendan Galvin'],"['United States of America', 'Ireland', 'United Kingdom']","['Touchstone Pictures', 'Jerry Bruckheimer Films']",['English']
3079,Vertical Limit,75000000,Action Adventure Thriller,11678,himalaya pakistan climbing k2 mountaineering,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives.",13.318744,5.9,283,Chris O'Donnell Robin Tunney Bill Paxton Scott Glenn Izabella Scorupco,Martin Campbell,"['Mike Medavoy', 'Lloyd Phillips', 'Marcia Nasatir']",['Robert King'],['James Newton Howard'],['David Tattersall'],"['Pakistan', 'New Zealand', 'United States of America']","['Columbia Pictures Corporation', 'Global Entertainment Productions GmbH & Company Medien KG']","['اردو', 'English']"
3080,Very Bad Things,30000000,Comedy Crime Thriller,10029,prostitute hotel cocaine nudity psychopath,"Kyle Fisher has one last night to celebrate life as a single man before marrying Laura, so he sets out to Vegas with four of his best buddies. But a drug and alcohol filled night on the town with a stripper who goes all the way, turns into a cold night in the desert with shovels when the stripper goes all the way into a body bag after dying in their bathroom. And that's just the first of the bodies to pile up before Kyle can walk down the aisle...",5.671691,6.2,179,Jon Favreau Leland Orser Cameron Diaz Christian Slater Jeremy Piven,Peter Berg,"['Scott Kroopf', 'Christian Slater', 'Ted Field', 'Michael A. Helfant']",,['Stewart Copeland'],['David Hennings'],['United States of America'],"['Ballpark Productions Partnership', 'Initial Entertainment Group (IEG)', 'Interscope Communications', 'VBT Productions']",['English']
3081,V for Vendetta,54000000,Action Thriller Fantasy,752,detective vatican fascism satanism fascist,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",84.630969,7.7,4442,Natalie Portman Hugo Weaving Stephen Rea Stephen Fry John Hurt,James McTeigue,['Ben Waisbren'],,['Dario Marianelli'],['Adrian Biddle'],"['United States of America', 'Germany', 'United Kingdom']","['DC Comics', 'Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Warner Bros.', 'Medienboard Berlin-Brandenburg', 'Fünfte Babelsberg Film', 'Studio Babelsberg']",['English']
3082,Vicky Cristina Barcelona,15000000,Drama Romance,5038,barcelona spain menage a trois author,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",32.758254,6.7,1020,Scarlett Johansson Rebecca Hall Javier Bardem Pen\u00e9lope Cruz Christopher Evan Welch,Woody Allen,['Jaume Roures'],,,['Javier Aguirresarobe'],"['Spain', 'United States of America']","['The Weinstein Company', 'Televisió de Catalunya (TV3)', 'Antena 3 Televisión', 'Mediapro', 'Gravier Productions', 'Antena 3 Films']","['English', 'Español']"
3083,Victor Frankenstein,40000000,Drama Science Fiction Thriller,228066,london england human experimentation frankenstein reanimated corpse frankenstein's monster,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,24.821138,5.6,685,James McAvoy Daniel Radcliffe Jessica Brown Findlay Andrew Scott Charles Dance,Paul McGuigan,"['Brittany Morrissey', 'Derek Dauchy']",,,['Fabian Wagner'],"['United Kingdom', 'United States of America']","['Twentieth Century Fox Film Corporation', 'TSG Entertainment', 'Moving Picture Company (MPC)', 'Davis Entertainment']",['English']
3084,Videodrome,5952000,Horror Mystery Science Fiction,837,suicide tv show hallucination tv station radio presenter,A sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a very unusual fashion when he acquires a new kind of programming for his station.,18.119265,7.1,454,James Woods Sonja Smits Deborah Harry Peter Dvorsky Jack Creley,David Cronenberg,"['Victor Solnicki', 'Pierre David']",['David Cronenberg'],['Howard Shore'],['Mark Irwin'],['Canada'],"['Universal Pictures', 'Guardian Trust Company', 'Filmplan International II', 'Famous Players Ltd']",['English']
3085,Virgin Territory,38000000,Adventure Action Comedy Romance,14324,,"The film is set in Tuscany during the Black Death. As in the Decameron, ten young Florentines take refuge from the plague. But instead of telling stories, they have lusty adventures, bawdy exchanges, romance and swordplay. There are randy nuns, Saracen pirates, and a sexy cow.",6.760922,4.3,75,Ryan Cartwright Hayden Christensen Mischa Barton Jay Villiers Simone Spinazz\u00e8,David Leland,['James Clayton'],['David Leland'],,,"['Italy', 'United Kingdom', 'Luxembourg', 'France']","['Carthago Films S.a.r.l.', 'Red Lion Sarl', 'Zephyr Films', 'Dino de Laurentiis Cinematografica', 'Ingenious Film Partners', 'Dino De Laurentiis Company']","['English', 'Pусский']"
3086,Virtuosity,30000000,Action Crime Science Fiction Thriller,9271,artificial intelligence android hologram computer program virtual reality,"The Law Enforcement Technology Advancement Centre (LETAC) has developed SID version 6.7: a Sadistic, Intelligent, and Dangerous virtual reality entity which is synthesized from the personalities of more than 150 serial killers, and only one man can stop him.",5.301589,5.4,163,Denzel Washington Russell Crowe Kelly Lynch William Forsythe Stephen Spinella,Brett Leonard,['Hawk Koch'],,['Christopher Young'],['Gale Tattersall'],['United States of America'],['Paramount Pictures'],['English']
3087,Volver,12899867,Comedy Drama Romance,219,child abuse rape fire sexual abuse madrid,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them.",19.747809,7.3,406,Pen\u00e9lope Cruz Carmen Maura Lola Due\u00f1as Blanca Portillo Yohana Cobo,Pedro Almod\u00f3var,['Agust\\u00edn Almod\\u00f3var'],,['Alberto Iglesias'],['Jos\\u00e9 Luis Alcaine'],['Spain'],['El Deseo'],['Español']
3088,W.,25100000,Drama History,10523,usa white house usa president george w. bush president,"Whether you love him or hate him, there is no question that George W. Bush is one of the most controversial public figures in recent memory. W takes viewers through Bush’s eventful life -- his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to Bush’s decision to invade Iraq.",10.445391,6.1,143,Josh Brolin Elizabeth Banks Ellen Burstyn Ioan Gruffudd Thandie Newton,Oliver Stone,,,,,['United States of America'],"['Emperor Motion Pictures', 'Global Entertainment Group', 'Ixtlan Productions']","['English', 'Español']"
3089,Wag the Dog,15000000,Comedy Drama,586,washington d.c. rape cia usa president war veteran,"During the final weeks of a presidential race, the President is accused of sexual misconduct. To distract the public until the election, the President's adviser hires a Hollywood producer to help him stage a fake war.",13.581966,6.7,270,Dustin Hoffman Robert De Niro Anne Heche Woody Harrelson Jim Belushi,Barry Levinson,,,['Mark Knopfler'],['Robert Richardson'],['United States of America'],"['Tribeca Productions', 'New Line Cinema', 'Baltimore Pictures']","['shqip', 'English']"
3090,Waiting...,3000000,Comedy,7553,decision waiter hostess trainee gross out,"Employees at a Bennigan's-like restaurant (called, creatively enough, Shenanigan's), kill time before their real lives get started. But while they wait, they'll have to deal with picky customers who want their steak cooked to order and enthusiastic managers who want to build the perfect wait staff. Luckily, these employees have effective revenge tactics.",10.230583,6.2,237,Ryan Reynolds Anna Faris Justin Long David Koechner Luis Guzm\u00e1n,Rob McKittrick,,,,,['United States of America'],"['Eden Rock Media', 'L.I.F.T. Production']","['English', 'Pусский']"
3091,Waitress,2000000,Comedy,10758,waitress unwillingly pregnant woman director,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",9.672989999999999,6.7,129,Keri Russell Nathan Fillion Andy Griffith Cheryl Hines Eddie Jemison,Adrienne Shelly,"['Jeff Rose', 'Todd King', 'Robert Bauer', 'Danielle Renfrew']",,['Andrew Hollander'],['Matthew Irving'],['United States of America'],['Night and Day Pictures'],['English']
3092,Walk Hard: The Dewey Cox Story,35000000,Comedy Music,6575,music record rock and roll pop hip-hop fab four,Singer Dewey Cox overcomes adversity to become a musical legend.,10.73522,6.6,212,John C. Reilly Jenna Fischer Tim Meadows Kristen Wiig Raymond J. Barry,Jake Kasdan,['Lewis Morton'],,['Michael Andrews'],['Uta Briesewitz'],['United States of America'],"['Apatow Productions', 'Columbia Pictures Corporation']",['English']
3093,Walking Tall,56000000,Adventure Drama Action Thriller,11358,casino sheriff home violence special forces,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",23.438398,6.0,381,Dwayne Johnson Johnny Knoxville Neal McDonough Kristen Wilson Cobie Smulders,Kevin Bray,"['Keith Samples', 'Vince McMahon']",,['Graeme Revell'],['Glen MacPherson'],['United States of America'],"['Cub Eight Productions', 'Burke/Samples/Foster Productions', 'Mandeville Films', 'WWE Studios', 'Hyde Park Entertainment', 'Metro-Goldwyn-Mayer (MGM)']",['English']
3094,Walking With Dinosaurs,80000000,Animation Family Adventure,77951,dinosaur 3d,"Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.",10.088006,5.2,133,Charlie Rowe Justin Long Karl Urban Angourie Rice John Leguizamo,Barry Cook,['Stuart Ford'],['John Collee'],,,"['Australia', 'United Kingdom', 'United States of America', 'India']","['BBC Worldwide', 'Evergreen MD', 'BBC Earth MD (WWD)', 'Evergreen Films', 'BBC Earth', 'Animal Logic', 'Reliance BIG Entertainment']",['English']
3095,Walk the Line,28000000,Drama Music Romance,69,germany prison music record adultery country music,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",35.580032,7.3,718,Joaquin Phoenix Reese Witherspoon Ginnifer Goodwin Robert Patrick Tyler Hilton,James Mangold,"['John Carter Cash', 'Alan C. Blomquist']",,['T Bone Burnett'],['Phedon Papamichael'],"['United States of America', 'Germany']","['Catfish Productions', 'Fox 2000 Pictures', 'Mars Media Beteiligungs', 'Tree Line Films', 'Konrad Pictures']","['Pусский', 'English']"
